x0000,y0000,x0001,y0001,x0002,y0002
0,-0.06212,0,0,0,0,
0.0005,-0.060475,0,0,0,0,
0.001,-0.073305,0,0,0,0,
0.0015,-0.083174, , , , ,
0.002,-0.071989, , , , ,
0.0025,-0.044355, , , , ,
0.003,-0.014419, , , , ,
0.0035,0.0082805, , , , ,
0.004,0.051376, , , , ,
0.0045,0.12441, , , , ,
0.005,0.18823, , , , ,
0.0055,0.21784, , , , ,
0.006,0.22705, , , , ,
0.0065,0.21488, , , , ,
0.007,0.17803, , , , ,
0.0075,0.12572, , , , ,
0.008,0.077694, , , , ,
0.0085,0.034269, , , , ,
0.009,-0.012116, , , , ,
0.0095,-0.062778, , , , ,
0.01,-0.10883, , , , ,
0.0105,-0.14436, , , , ,
0.011,-0.1664, , , , ,
0.0115,-0.16936, , , , ,
0.012,-0.16081, , , , ,
0.0125,-0.14798, , , , ,
0.013,-0.14601, , , , ,
0.0135,-0.14338, , , , ,
0.014,-0.11903, , , , ,
0.0145,-0.090411, , , , ,
0.015,-0.076265, , , , ,
0.0155,-0.061791, , , , ,
0.016,-0.041394, , , , ,
0.0165,-0.016721, , , , ,
0.017,-0.00027255, , , , ,
0.0175,0.015847, , , , ,
0.018,0.041836, , , , ,
0.0185,0.062561, , , , ,
0.019,0.069798, , , , ,
0.0195,0.071114, , , , ,
0.02,0.06618, , , , ,
0.0205,0.05335, , , , ,
0.021,0.046112, , , , ,
0.0215,0.040849, , , , ,
0.022,0.013873, , , , ,
0.0225,-0.01705, , , , ,
0.023,-0.043368, , , , ,
0.0235,-0.066067, , , , ,
0.024,-0.070015, , , , ,
0.0245,-0.057185, , , , ,
0.025,-0.031525, , , , ,
0.0255,-0.0025755, , , , ,
0.026,0.017492, , , , ,
0.0265,0.026703, , , , ,
0.027,0.02769, , , , ,
0.0275,0.026374, , , , ,
0.028,0.025716, , , , ,
0.0285,0.019136, , , , ,
0.029,0.013215, , , , ,
0.0295,0.010254, , , , ,
0.03,0.00071445, , , , ,
0.0305,-0.0042205, , , , ,
0.031,0.00038545, , , , ,
0.0315,0.013544, , , , ,
0.032,0.015518, , , , ,
0.0325,0.0046625, , , , ,
0.033,0.0089385, , , , ,
0.0335,0.029993, , , , ,
0.034,0.041836, , , , ,
0.0345,0.047428, , , , ,
0.035,0.061574, , , , ,
0.0355,0.06289, , , , ,
0.036,0.056968, , , , ,
0.0365,0.065851, , , , ,
0.037,0.06289, , , , ,
0.0375,0.041836, , , , ,
0.038,0.031308, , , , ,
0.0385,0.035585, , , , ,
0.039,0.067824, , , , ,
0.0395,0.1379, , , , ,
0.04,0.1675, , , , ,
0.0405,0.13132, , , , ,
0.041,0.10434, , , , ,
0.0415,0.11355, , , , ,
0.042,0.12178, , , , ,
0.0425,0.10533, , , , ,
0.043,0.073088, , , , ,
0.0435,0.016176, , , , ,
0.044,-0.059159, , , , ,
0.0445,-0.10916, , , , ,
0.045,-0.11541, , , , ,
0.0455,-0.10028, , , , ,
